3000,Princess Mononoke, The (Mononoke Hime) (1997),Action|Adventure|Animation
3001,Suburbans, The (1999),Drama
3002,My Best Fiend (Mein liebster Feind) (1999),Documentary
3003,Train of Life (Train De Vie) (1998),Comedy|Drama
3004,Bachelor, The (1999),Comedy|Romance
3005,Bone Collector, The (1999),Thriller
3006,Insider, The (1999),Drama
3007,American Movie (1999),Documentary
3008,Last Night (1998),Thriller
3009,Portraits Chinois (1996),Drama
3010,Rosetta (1999),Drama
3011,They Shoot Horses, Don't They? (1969),Drama
3012,Battling Butler (1926),Comedy
3013,Bride of Re-Animator (1990),Comedy|Horror
3014,Bustin' Loose (1981),Comedy
3015,Coma (1978),Thriller
3016,Creepshow (1982),Horror
3017,Creepshow 2 (1987),Horror
3018,Re-Animator (1985),Horror
3019,Drugstore Cowboy (1989),Crime|Drama
3020,Falling Down (1993),Action|Drama
3021,Funhouse, The (1981),Horror
3022,General, The (1927),Comedy
3023,My Best Girl (1927),Comedy|Romance
3024,Piranha (1978),Horror|Sci-Fi
3025,Rough Night in Jericho (1967),Western
3026,Slaughterhouse (1987),Horror
3027,Slaughterhouse 2 (1988),Horror
3028,Taming of the Shrew, The (1967),Comedy
3029,Nighthawks (1981),Action|Drama
3030,Yojimbo (1961),Comedy|Drama|Western
3031,Repossessed (1990),Comedy
3032,Omega Man, The (1971),Sci-Fi
3033,Spaceballs (1987),Comedy|Sci-Fi
3034,Robin Hood (1973),Animation|Children's
3035,Mister Roberts (1955),Comedy|Drama|War
3036,Quest for Fire (1981),Adventure
3037,Little Big Man (1970),Comedy|Drama|Western
3038,Face in the Crowd, A (1957),Drama
3039,Trading Places (1983),Comedy
3040,Meatballs (1979),Comedy
3041,Meatballs Part II (1984),Comedy
3042,Meatballs III (1987),Comedy
3043,Meatballs 4 (1992),Comedy
3044,Dead Again (1991),Mystery|Romance|Thriller
3045,Peter's Friends (1992),Comedy|Drama
3046,Incredibly True Adventure of Two Girls in Love, The (1995),Comedy|Romance
3047,Experience Preferred... But Not Essential (1982),Drama
3048,Under the Rainbow (1981),Comedy
3049,How I Won the War (1967),Comedy|War
3050,Light It Up (1999),Drama
3051,Anywhere But Here (1999),Drama
3052,Dogma (1999),Comedy
3053,Messenger: The Story of Joan of Arc, The (1999),Drama|War
3054,Pokémon: The First Movie (1998),Animation|Children's
3055,Felicia's Journey (1999),Thriller
3056,Oxygen (1999),Thriller
3057,Where's Marlowe? (1999),Comedy
3058,Ape, The (1940),Horror|Sci-Fi
3059,British Intelligence (1940),Drama
3060,Commitments, The (1991),Comedy|Drama
3061,Holiday Inn (1942),Comedy|Musical
3062,Longest Day, The (1962),Action|Drama|War
3063,Poison Ivy (1992),Thriller
3064,Poison Ivy: New Seduction (1997),Thriller
3065,Ten Benny (1997),Drama
3066,Tora! Tora! Tora! (1970),War
3067,Women on the Verge of a Nervous Breakdown (1988),Comedy|Drama
3068,Verdict, The (1982),Drama
3069,Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972),Drama
3070,Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984),Adventure|Comedy|Sci-Fi
3071,Stand and Deliver (1987),Drama
3072,Moonstruck (1987),Comedy
3073,Sandpiper, The (1965),Drama|Romance
3074,Jeremiah Johnson (1972),Western
3075,Repulsion (1965),Thriller
3076,Irma la Douce (1963),Comedy
3077,42 Up (1998),Documentary
3078,Liberty Heights (1999),Drama
3079,Mansfield Park (1999),Drama
3080,Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998),Drama|Sci-Fi
3081,Sleepy Hollow (1999),Horror|Romance
3082,World Is Not Enough, The (1999),Action|Thriller
3083,All About My Mother (Todo Sobre Mi Madre) (1999),Comedy|Drama
3084,Home Page (1999),Documentary
3085,Living Dead Girl, The (La Morte Vivante) (1982),Horror
3086,March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),Comedy
3087,Scrooged (1988),Comedy
3088,Harvey (1950),Comedy
3089,Bicycle Thief, The (Ladri di biciclette) (1948),Drama
3090,Matewan (1987),Drama
3091,Kagemusha (1980),Drama|War
3092,Chushingura (1962),Drama
3093,McCabe & Mrs. Miller (1971),Drama|Western
3094,Maurice (1987),Drama|Romance
3095,Grapes of Wrath, The (1940),Drama
3096,My Man Godfrey (1957),Comedy
3097,Shop Around the Corner, The (1940),Comedy|Romance
3098,Natural, The (1984),Drama
3099,Shampoo (1975),Comedy|Romance
3100,River Runs Through It, A (1992),Drama
3101,Fatal Attraction (1987),Thriller
3102,Jagged Edge (1985),Thriller
3103,Stanley & Iris (1990),Drama|Romance
3104,Midnight Run (1988),Action|Adventure|Comedy|Crime
3105,Awakenings (1990),Drama
3106,Come See the Paradise (1990),Drama|Romance
3107,Backdraft (1991),Action|Drama
3108,Fisher King, The (1991),Comedy|Drama|Romance
3109,River, The (1984),Drama
3110,Country (1984),Drama
3111,Places in the Heart (1984),Drama
3112,'Night Mother (1986),Drama
3113,End of Days (1999),Action|Thriller
3114,Toy Story 2 (1999),Animation|Children's|Comedy
3115,Flawless (1999),Drama
3116,Miss Julie (1999),Drama
3117,Ride with the Devil (1999),Drama|Romance|War
3118,Tumbleweeds (1999),Drama
3119,Bay of Blood (Reazione a catena) (1971),Horror
3120,Distinguished Gentleman, The (1992),Comedy
3121,Hitch-Hiker, The (1953),Film-Noir
3122,Santa Fe Trail (1940),Drama|Romance|Western
3123,Spring Fever USA (a.k.a. Lauderdale) (1989),Comedy
3124,Agnes Browne (1999),Comedy|Drama
3125,End of the Affair, The (1999),Drama
3126,End of the Affair, The (1955),Drama
3127,Holy Smoke (1999),Drama
3128,Map of the World, A (1999),Drama
3129,Sweet and Lowdown (1999),Comedy|Drama
3130,Bonfire of the Vanities (1990),Comedy
3131,Broadway Damage (1997),Comedy
3132,Daddy Long Legs (1919),Comedy
3133,Go West (1925),Comedy
3134,Grand Illusion (Grande illusion, La) (1937),Drama|War
3135,Great Santini, The (1979),Drama
3136,James Dean Story, The (1957),Documentary
3137,Sea Wolves, The (1980),Action|War
3138,Stealing Home (1988),Drama
3139,Tarzan the Fearless (1933),Action|Adventure
3140,Three Ages, The (1923),Comedy
3141,Two Jakes, The (1990),Drama
3142,U2: Rattle and Hum (1988),Documentary|Musical
3143,Hell in the Pacific (1968),Drama|War
3144,Glass Bottom Boat, The (1966),Comedy|Romance
3145,Cradle Will Rock, The (1999),Drama
3146,Deuce Bigalow: Male Gigolo (1999),Comedy
3147,Green Mile, The (1999),Drama|Thriller
3148,Cider House Rules, The (1999),Drama
3149,Diamonds (1999),Mystery
3150,War Zone, The (1999),Drama
3151,Bat Whispers, The (1930),Crime|Drama|Mystery
3152,Last Picture Show, The (1971),Drama
3153,7th Voyage of Sinbad, The (1958),Action|Adventure|Fantasy
3154,Blood on the Sun (1945),Drama|War
3155,Anna and the King (1999),Drama|Romance
3156,Bicentennial Man (1999),Comedy|Drama|Sci-Fi
3157,Stuart Little (1999),Children's|Comedy
3158,Emperor and the Assassin, The (Jing ke ci qin wang) (1999),Drama
3159,Fantasia 2000 (1999),Animation|Children's|Musical
3160,Magnolia (1999),Drama
3161,Onegin (1999),Drama
3162,Simpatico (1999),Comedy|Drama
3163,Topsy-Turvy (1999),Drama
3164,Alley Cats, The (1968),Drama
3165,Boiling Point (1993),Action|Drama
3166,Brenda Starr (1989),Adventure
3167,Carnal Knowledge (1971),Drama
3168,Easy Rider (1969),Adventure|Drama
3169,Falcon and the Snowman, The (1984),Drama
3170,Hi-Yo Silver (1940),Western
3171,Room at the Top (1959),Drama
3172,Ulysses (Ulisse) (1954),Adventure
3173,Any Given Sunday (1999),Drama
3174,Man on the Moon (1999),Comedy|Drama
3175,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
3176,Talented Mr. Ripley, The (1999),Drama|Mystery|Thriller
3177,Next Friday (1999),Comedy
3178,Hurricane, The (1999),Drama
3179,Angela's Ashes (1999),Drama
3180,Play it to the Bone (1999),Comedy|Drama
3181,Titus (1999),Drama
3182,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Documentary
3183,Third Miracle, The (1999),Drama
3184,Montana (1998),Action|Comedy|Crime|Drama
3185,Snow Falling on Cedars (1999),Drama
3186,Girl, Interrupted (1999),Drama
3187,Trans (1998),Drama
3188,Life and Times of Hank Greenberg, The (1998),Documentary
3189,My Dog Skip (1999),Comedy
3190,Supernova (2000),Adventure|Sci-Fi
3191,Quarry, The (1998),Drama
3192,Terrorist, The (Malli) (1998),Drama
3193,Creature (1999),Documentary
3194,Way We Were, The (1973),Drama
3195,Tess of the Storm Country (1922),Drama
3196,Stalag 17 (1953),Drama|War
3197,Presidio, The (1988),Action
3198,Papillon (1973),Drama
3199,Pal Joey (1957),Comedy|Musical|Romance
3200,Last Detail, The (1973),Comedy|Drama
3201,Five Easy Pieces (1970),Drama
3202,Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),Drama
3203,Dead Calm (1989),Thriller
3204,Boys from Brazil, The (1978),Thriller
3205,Black Sunday (La Maschera Del Demonio) (1960),Horror
3206,Against All Odds (1984),Romance
3207,Snows of Kilimanjaro, The (1952),Adventure
3208,Loaded Weapon 1 (1993),Action|Comedy
3209,Loves of Carmen, The (1948),Drama
3210,Fast Times at Ridgemont High (1982),Comedy
3211,Cry in the Dark, A (1988),Drama
3212,Born to Win (1971),Drama
3213,Batman: Mask of the Phantasm (1993),Animation|Children's
3214,American Flyers (1985),Drama
3215,Voyage of the Damned (1976),Drama
3216,Vampyros Lesbos (Las Vampiras) (1970),Horror
3217,Star Is Born, A (1937),Drama
3218,Poison (1991),Drama
3219,Pacific Heights (1990),Thriller
3220,Night Tide (1961),Drama
3221,Draughtsman's Contract, The (1982),Drama
3222,Carmen (1984),Drama
3223,Zed & Two Noughts, A (1985),Drama
3224,Woman in the Dunes (Suna no onna) (1964),Drama
3225,Down to You (2000),Comedy|Romance
3226,Hellhounds on My Trail (1999),Documentary
3227,Not Love, Just Frenzy (Más que amor, frenesí) (1996),Comedy|Drama|Thriller
3228,Wirey Spindell (1999),Comedy
3229,Another Man's Poison (1952),Crime|Drama
3230,Odessa File, The (1974),Thriller
3231,Saphead, The (1920),Comedy
3232,Seven Chances (1925),Comedy
3233,Smashing Time (1967),Comedy
3234,Train Ride to Hollywood (1978),Comedy
3235,Where the Buffalo Roam (1980),Comedy
3236,Zachariah (1971),Western
3237,Kestrel's Eye (Falkens öga) (1998),Documentary
3238,Eye of the Beholder (1999),Thriller
3239,Isn't She Great? (2000),Comedy
3240,Big Tease, The (1999),Comedy
3241,Cup, The (Phörpa) (1999),Comedy
3242,Santitos (1997),Comedy
3243,Encino Man (1992),Comedy
3244,Goodbye Girl, The (1977),Comedy|Romance
3245,I Am Cuba (Soy Cuba/Ya Kuba) (1964),Drama
3246,Malcolm X (1992),Drama
3247,Sister Act (1992),Comedy|Crime
3248,Sister Act 2: Back in the Habit (1993),Comedy
3249,Hand That Rocks the Cradle, The (1992),Thriller
3250,Alive (1993),Drama
3251,Agnes of God (1985),Drama|Mystery
3252,Scent of a Woman (1992),Drama
3253,Wayne's World (1992),Comedy
3254,Wayne's World 2 (1993),Comedy
3255,League of Their Own, A (1992),Comedy|Drama
3256,Patriot Games (1992),Action|Thriller
3257,Bodyguard, The (1992),Action|Drama|Romance|Thriller
3258,Death Becomes Her (1992),Comedy
3259,Far and Away (1992),Drama|Romance
3260,Howards End (1992),Drama
3261,Singles (1992),Comedy|Drama|Romance
3262,Twin Peaks: Fire Walk with Me (1992),Drama|Mystery
3263,White Men Can't Jump (1992),Comedy
3264,Buffy the Vampire Slayer (1992),Comedy|Horror
3265,Hard-Boiled (Lashou shentan) (1992),Action|Crime
3266,Man Bites Dog (C'est arrivé près de chez vous) (1992),Action|Comedy|Crime|Drama
3267,Mariachi, El (1992),Action|Thriller
3268,Stop! Or My Mom Will Shoot (1992),Action|Comedy
3269,Forever Young (1992),Adventure|Romance|Sci-Fi
3270,Cutting Edge, The (1992),Drama
3271,Of Mice and Men (1992),Drama
3272,Bad Lieutenant (1992),Crime|Drama
3273,Scream 3 (2000),Horror|Mystery|Thriller
3274,Single White Female (1992),Action
3275,Boondock Saints, The (1999),Action|Comedy
3276,Gun Shy (2000),Comedy
3277,Beloved/Friend (Amigo/Amado) (1999),Drama
3278,Gendernauts (1999),Documentary
3279,Knockout (1999),Action|Adventure
3280,Baby, The (1973),Horror
3281,Brandon Teena Story, The (1998),Documentary
3282,Different for Girls (1996),Comedy
3283,Minnie and Moskowitz (1971),Action
3284,They Might Be Giants (1971),Comedy|Romance
3285,Beach, The (2000),Adventure|Drama
3286,Snow Day (2000),Comedy
3287,Tigger Movie, The (2000),Animation|Children's
3288,Cotton Mary (1999),Drama
3289,Not One Less (Yi ge dou bu neng shao) (1999),Drama
3290,Soft Toilet Seats (1999),Comedy
3291,Trois (2000),Thriller
3292,Big Combo, The (1955),Film-Noir
3293,Conceiving Ada (1997),Drama|Sci-Fi
3294,Eaten Alive (1976),Horror
3295,Raining Stones (1993),Drama
3296,To Sir with Love (1967),Drama
3297,With Byrd at the South Pole (1930),Documentary
3298,Boiler Room (2000),Drama
3299,Hanging Up (2000),Comedy|Drama
3300,Pitch Black (2000),Action|Sci-Fi
3301,Whole Nine Yards, The (2000),Comedy|Crime
3302,Beautiful People (1999),Comedy
3303,Black Tar Heroin: The Dark End of the Street (1999),Documentary
3304,Blue Collar (1978),Crime|Drama
3305,Bluebeard (1944),Film-Noir|Horror
3306,Circus, The (1928),Comedy
3307,City Lights (1931),Comedy|Drama|Romance
3308,Flamingo Kid, The (1984),Comedy|Drama
3309,Dog's Life, A (1920),Comedy
3310,Kid, The (1921),Action
3311,Man from Laramie, The (1955),Western
3312,McCullochs, The (1975),Drama
3313,Class Reunion (1982),Comedy
3314,Big Trees, The (1952),Action|Drama
3315,Happy Go Lovely (1951),Musical
3316,Reindeer Games (2000),Action|Thriller
3317,Wonder Boys (2000),Comedy|Drama
3318,Deterrence (1998),Thriller
3319,Judy Berlin (1999),Drama
3320,Mifune (Mifunes sidste sang) (1999),Comedy|Romance
3321,Waiting Game, The (2000),Comedy
3322,3 Strikes (2000),Comedy
3323,Chain of Fools (2000),Comedy|Crime
3324,Drowning Mona (2000),Comedy
3325,Next Best Thing, The (2000),Comedy|Drama
3326,What Planet Are You From? (2000),Comedy|Sci-Fi
3327,Beyond the Mat (2000),Documentary
