_id,id,gen,edad,ocup,cp,len_cp
ObjectId("5df8c466c17bff0219cf9885"),161,M,45,16,98107-2117,10
ObjectId("5df8c466c17bff0219cf98cd"),233,F,45,20,37919-4204,10
ObjectId("5df8c466c17bff0219cf9909"),293,M,56,1,55337-4056,10
ObjectId("5df8c466c17bff0219cf99ae"),458,M,50,16,55405-2546,10
ObjectId("5df8c466c17bff0219cf99de"),506,M,25,16,55103-1006,10
ObjectId("5df8c466c17bff0219cf9a1b"),567,M,35,20,52570-9634,10
ObjectId("5df8c466c17bff0219cf9b48"),868,M,50,17,01702-7224,10
ObjectId("5df8c466c17bff0219cf9b75"),913,M,25,0,20744-6223,10
ObjectId("5df8c466c17bff0219cf9b8f"),939,F,25,20,20110-5616,10
ObjectId("5df8c466c17bff0219cf9b96"),946,M,35,7,48103-8929,10
ObjectId("5df8c466c17bff0219cf9bfa"),1046,M,56,18,53404-1230,10
ObjectId("5df8c466c17bff0219cf9c1d"),1081,M,18,4,68144-2410,10
ObjectId("5df8c466c17bff0219cf9c57"),1139,M,25,1,93420-2852,10
ObjectId("5df8c466c17bff0219cf9c95"),1201,M,18,4,84112-2004,10
ObjectId("5df8c466c17bff0219cf9d9b"),1463,M,50,16,92612-3417,10
ObjectId("5df8c466c17bff0219cf9de9"),1541,M,56,17,23464-3016,10
ObjectId("5df8c466c17bff0219cf9e0d"),1577,M,56,0,72227-5733,10
ObjectId("5df8c466c17bff0219cf9e1f"),1595,M,35,1,92683-1892,10
ObjectId("5df8c466c17bff0219cf9e6d"),1673,M,1,10,98043-3621,10
ObjectId("5df8c466c17bff0219cf9ea4"),1728,M,18,4,11710-1641,10
ObjectId("5df8c466c17bff0219cf9ec2"),1758,F,25,0,33067-1400,10
ObjectId("5df8c466c17bff0219cf9fb6"),2002,F,56,13,02136-1522,10
ObjectId("5df8c466c17bff0219cfa00b"),2087,M,25,0,37923-3112,10
ObjectId("5df8c466c17bff0219cfa068"),2180,M,25,12,27713-9225,10
ObjectId("5df8c466c17bff0219cfa086"),2210,M,45,17,88005-4313,10
ObjectId("5df8c466c17bff0219cfa090"),2220,F,50,3,95451-9554,10
ObjectId("5df8c466c17bff0219cfa0ed"),2313,F,50,6,48103-4711,10
ObjectId("5df8c466c17bff0219cfa1fd"),2585,M,45,15,64081-8102,10
ObjectId("5df8c466c17bff0219cfa204"),2592,M,50,7,80004-4448,10
ObjectId("5df8c466c17bff0219cfa29e"),2746,M,50,14,50265-2850,10
ObjectId("5df8c466c17bff0219cfa43e"),3162,M,25,1,08854-3115,10
ObjectId("5df8c466c17bff0219cfa4bb"),3287,M,56,13,27514-3540,10
ObjectId("5df8c466c17bff0219cfa4d0"),3308,F,18,20,15701-1348,10
ObjectId("5df8c466c17bff0219cfa4e4"),3328,M,56,19,91790-1161,10
ObjectId("5df8c466c17bff0219cfa4e9"),3333,M,18,16,29404-2205,10
ObjectId("5df8c466c17bff0219cfa5aa"),3526,M,35,2,62263-3004,10
ObjectId("5df8c467c17bff0219cfa67e"),3738,M,45,7,01904-1355,10
ObjectId("5df8c467c17bff0219cfa6ec"),3848,M,25,15,70809-2612,10
ObjectId("5df8c467c17bff0219cfa746"),3938,M,25,2,92711-0571,10
ObjectId("5df8c467c17bff0219cfa758"),3956,M,25,0,94930-2010,10
ObjectId("5df8c467c17bff0219cfa790"),4012,M,18,4,49503-1313,10
ObjectId("5df8c467c17bff0219cfa792"),4014,M,25,0,48316-5601,10
ObjectId("5df8c467c17bff0219cfa7aa"),4038,M,50,6,11510-2001,10
ObjectId("5df8c467c17bff0219cfa800"),4124,M,25,18,62330-1408,10
ObjectId("5df8c467c17bff0219cfa867"),4227,M,25,19,11414-2520,10
ObjectId("5df8c467c17bff0219cfa94e"),4458,F,25,4,15701-2017,10
ObjectId("5df8c467c17bff0219cfa970"),4492,M,56,13,45322-3132,10
ObjectId("5df8c467c17bff0219cfaa57"),4723,M,35,7,90014-1718,10
ObjectId("5df8c467c17bff0219cfaa59"),4725,M,35,5,96707-1321,10
ObjectId("5df8c467c17bff0219cfaa6e"),4746,M,50,1,19087-3622,10
ObjectId("5df8c467c17bff0219cfaaac"),4808,M,35,0,96707-1321,10
ObjectId("5df8c467c17bff0219cfab49"),4965,M,1,10,63123-1507,10
ObjectId("5df8c467c17bff0219cfaba8"),5060,M,45,17,84109-2001,10
ObjectId("5df8c467c17bff0219cfabfd"),5145,M,35,7,77565-2332,10
ObjectId("5df8c467c17bff0219cfaca3"),5311,M,50,0,62025-8000,10
ObjectId("5df8c467c17bff0219cfacbd"),5337,F,35,3,02725-1010,10
ObjectId("5df8c467c17bff0219cfad04"),5408,M,25,20,11230-1710,10
ObjectId("5df8c467c17bff0219cfad42"),5470,M,56,7,20003-2712,10
ObjectId("5df8c467c17bff0219cfad45"),5473,M,25,1,20120-6354,10
ObjectId("5df8c467c17bff0219cfad64"),5504,M,45,7,85287-2702,10
ObjectId("5df8c467c17bff0219cfadc4"),5600,F,45,0,12833-2000,10
